Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,4.250000,4.125000,4.156250,0.735570,212800
1962-01-03,0.000000,4.187500,4.085938,4.187500,0.741100,422400
1962-01-04,0.000000,4.257813,4.187500,4.187500,0.741100,212800
1962-01-05,0.000000,4.171875,4.062500,4.078125,0.721743,315200
1962-01-08,0.000000,4.085938,4.031250,4.054688,0.717596,334400
1962-01-09,0.000000,4.085938,4.039063,4.054688,0.717596,315200
1962-01-10,0.000000,4.046875,4.000000,4.007813,0.709299,254400
1962-01-11,0.000000,4.031250,3.898438,3.992188,0.706534,225600
1962-01-12,0.000000,4.046875,3.914063,3.914063,0.692708,579200
1962-01-15,0.000000,3.960938,3.914063,3.953125,0.699621,211200
1962-01-16,0.000000,4.023438,3.937500,4.023438,0.712064,200000
1962-01-17,0.000000,4.031250,3.968750,3.992188,0.706534,113600
1962-01-18,0.000000,4.031250,3.976563,4.023438,0.712064,256000
1962-01-19,0.000000,4.015625,3.945313,3.976563,0.703769,142400
1962-01-22,0.000000,4.015625,3.953125,4.000000,0.707917,206400
1962-01-23,0.000000,4.039063,3.984375,3.984375,0.705151,137600
1962-01-24,0.000000,4.015625,3.968750,4.015625,0.710683,116800
1962-01-25,0.000000,4.031250,3.976563,3.992188,0.706534,347200
1962-01-26,0.000000,4.015625,3.976563,4.007813,0.709299,99200
1962-01-29,0.000000,4.023438,3.945313,3.945313,0.698238,180800
1962-01-30,0.000000,4.000000,3.945313,3.976563,0.703769,142400
1962-01-31,0.000000,4.187500,4.000000,4.125000,0.730040,273600
1962-02-01,0.000000,4.273438,4.109375,4.250000,0.752161,267200
1962-02-02,0.000000,4.312500,4.265625,4.296875,0.760458,200000
1962-02-05,0.000000,4.367188,4.281250,4.367188,0.772902,195200
1962-02-06,0.000000,4.375000,4.328125,4.375000,0.774284,176000
1962-02-07,0.000000,4.390625,4.343750,4.367188,0.772902,185600
1962-02-08,0.000000,4.375000,4.351563,4.359375,0.771518,97600
1962-02-09,0.000000,4.390625,4.281250,4.351563,0.770136,128000
1962-02-12,0.000000,4.343750,4.296875,4.312500,0.763222,92800
1962-02-13,0.000000,4.343750,4.250000,4.250000,0.752161,153600
1962-02-14,0.000000,4.250000,4.101563,4.125000,0.730040,150400
1962-02-15,0.000000,4.203125,4.117188,4.140625,0.732804,156800
1962-02-16,0.000000,4.203125,4.125000,4.140625,0.732804,182400
1962-02-19,0.000000,4.109375,4.070313,4.070313,0.722541,164800
1962-02-20,0.000000,4.234375,4.085938,4.234375,0.751665,145600
1962-02-21,0.000000,4.242188,4.187500,4.218750,0.748892,105600
1962-02-23,0.000000,4.218750,4.171875,4.179688,0.741958,104000
1962-02-26,0.000000,4.210938,4.125000,4.164063,0.739184,142400
1962-02-27,0.000000,4.187500,4.132813,4.132813,0.733636,104000
1962-02-28,0.000000,4.171875,4.093750,4.171875,0.740571,97600
1962-03-01,0.000000,4.210938,4.125000,4.156250,0.737797,116800
1962-03-02,0.000000,4.187500,4.093750,4.132813,0.733636,224000
1962-03-05,0.000000,4.148438,4.093750,4.093750,0.726703,169600
1962-03-06,0.000000,4.093750,4.062500,4.093750,0.726703,180800
1962-03-07,0.000000,4.125000,4.078125,4.125000,0.732250,108800
1962-03-08,0.000000,4.179688,4.125000,4.148438,0.736411,259200
1962-03-09,0.000000,4.179688,4.140625,4.156250,0.737797,148800
1962-03-12,0.000000,4.218750,4.171875,4.218750,0.748892,147200
1962-03-13,0.000000,4.351563,4.234375,4.343750,0.771081,272000
1962-03-14,0.000000,4.375000,4.351563,4.359375,0.773855,284800
1962-03-15,0.000000,4.382813,4.367188,4.375000,0.776629,115200
1962-03-16,0.000000,4.382813,4.359375,4.359375,0.773855,113600
1962-03-19,0.000000,4.375000,4.343750,4.351563,0.772468,136000
1962-03-20,0.000000,4.367188,4.343750,4.343750,0.771081,188800
1962-03-21,0.000000,4.375000,4.335938,4.367188,0.775242,113600
1962-03-22,0.000000,4.375000,4.320313,4.343750,0.771081,163200
1962-03-23,0.000000,4.359375,4.312500,4.351563,0.772468,96000
1962-03-26,0.000000,4.367188,4.328125,4.343750,0.771081,108800
1962-03-27,0.000000,4.343750,4.296875,4.320313,0.766921,113600
1962-03-28,0.000000,4.343750,4.304688,4.343750,0.771081,73600
1962-03-29,0.000000,4.375000,4.351563,4.367188,0.775242,139200
1962-03-30,0.000000,4.367188,4.335938,4.367188,0.775242,139200
1962-04-02,0.000000,4.367188,4.335938,4.359375,0.773855,97600
1962-04-03,0.000000,4.343750,4.210938,4.265625,0.757213,147200
1962-04-04,0.000000,4.265625,4.218750,4.218750,0.748892,140800
1962-04-05,0.000000,4.289063,4.156250,4.281250,0.759987,187200
1962-04-06,0.000000,4.335938,4.250000,4.296875,0.762760,96000
1962-04-09,0.000000,4.335938,4.265625,4.265625,0.757213,140800
1962-04-10,0.000000,4.343750,4.250000,4.335938,0.769694,134400
1962-04-11,0.000000,4.375000,4.289063,4.289063,0.761373,97600
1962-04-12,0.000000,4.367188,4.289063,4.335938,0.769694,185600
1962-04-13,0.000000,4.328125,4.289063,4.320313,0.766921,121600
1962-04-16,0.000000,4.343750,4.281250,4.296875,0.762760,86400
1962-04-17,0.000000,4.335938,4.281250,4.312500,0.765533,92800
1962-04-18,0.000000,4.320313,4.250000,4.250000,0.754439,124800
1962-04-19,0.000000,4.296875,4.257813,4.296875,0.762760,84800
1962-04-23,0.000000,4.335938,4.281250,4.296875,0.762760,118400
1962-04-24,0.000000,4.320313,4.273438,4.289063,0.761373,81600
1962-04-25,0.000000,4.304688,4.234375,4.265625,0.757213,166400
1962-04-26,0.000000,4.242188,4.164063,4.195313,0.744732,139200
1962-04-27,0.000000,4.234375,4.156250,4.187500,0.743344,160000
1962-04-30,0.000000,4.210938,3.968750,3.968750,0.704513,520000
1962-05-01,0.000000,4.093750,3.937500,4.070313,0.722541,300800
1962-05-02,0.000000,4.203125,4.148438,4.187500,0.743344,228800
1962-05-03,0.000000,4.304688,4.164063,4.250000,0.754439,166400
1962-05-04,0.000000,4.218750,4.140625,4.218750,0.748892,92800
1962-05-07,0.000000,4.242188,4.171875,4.171875,0.740571,118400
1962-05-08,0.000000,4.156250,4.093750,4.156250,0.737797,86400
1962-05-09,0.000000,4.171875,4.078125,4.101563,0.728089,121600
1962-05-10,0.000000,4.117188,4.007813,4.031250,0.715607,203200
1962-05-11,0.000000,4.070313,3.929688,3.929688,0.697579,179200
1962-05-14,0.000000,3.937500,3.757813,3.937500,0.698966,398400
